"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"80","ENSMUSG00000002769","Gnmt",0,1,0,0,1,4.66123835553876,5.15998643918225,4.55704367083975,5.66005935927885,6.3055162740096,7.41261840505782,6.00002528456024,5.84512750279303,4.88720030432479,5.38020158168122,6.71918000195234,6.34514651372778
"81","ENSMUSG00000002799","Jag2",0,0,1,1,1,4.98907068813161,5.15998643918225,4.77863041806662,5.28257114250309,8.24336149783769,8.3036158210812,9.4302892745586,9.30627128674514,5.19272021789258,5.52439349197551,5.4918354308056,5.8092700478413
"82","ENSMUSG00000002808","Epdr1",0,0,0,0,-1,4.62395377546431,3.73265101935907,3.67728375510432,3.16817308554332,2.74027298260128,2,3.01631544900091,2.39875135932302,2.47277657087413,2.90731566273566,2,2.26713493452986
"83","ENSMUSG00000002825","Qtrt1",0,1,0,0,1,8.06624252523985,8.11170874381044,8.18120842336858,8.21686256013152,9.30588253148553,9.42716582210241,9.76926362985427,9.90361930449813,8.42822988160504,8.41029093012935,10.6628467992678,10.1525957228168
"84","ENSMUSG00000002835","Chaf1a",0,1,-1,-1,0,8.60985210411781,8.0872670853571,8.24299453270696,7.97608207407577,8.06702452058035,7.98624652846054,7.4801739616448,7.80113323887965,7.66759255908995,7.89343819611154,9.04407124788538,8.87721816911084
"85","ENSMUSG00000002847","Pla1a",0,1,0,0,1,3.70461193183998,3.11215945960192,2.57385971798622,2.69922707991166,4.88160060665504,6.13286789799188,5.76700556323529,4.68082583404222,3.55527081692524,3.46001122458306,5.45485283364529,4.8283202775903
"86","ENSMUSG00000002870","Mcm2",0,1,-1,-1,0,10.720192531762,10.4004099242714,10.4920449477699,10.4236430907562,10.7040427179987,10.6538183658869,10.7223687264986,10.9044428672195,10.3373419099679,10.4262551080089,12.474313288428,11.8423462804674
"87","ENSMUSG00000002908","Kcnn1",0,1,0,-1,1,3.77433336701949,2.66069579240745,3.15137260788772,3.62235987650132,4.50930142495078,4.83688212556239,4.52927536635281,4.26915184342839,3.23708777306939,3.57045961362964,6.15367446220949,5.0213989102911
"88","ENSMUSG00000002930","Ppp1r17",0,0,0,1,1,3.70461193183998,3.45550981153366,3.15137260788772,4.04200461530556,5.28042108602899,6.38213093110899,3.24102365928562,4.17057573379666,3.89314644966412,4.02305439769068,3.27714683584393,3.78282240259426
"89","ENSMUSG00000002944","Cd36",0,1,-1,-1,0,11.5587866689534,11.3046441959699,11.3306181690344,10.8859753359155,10.4246759012825,10.1310825423649,11.1207360755331,11.1449139476803,11.0203271782818,11.2405823071656,13.1108445090074,12.8332199767027
"90","ENSMUSG00000002984","Tomm40",0,1,0,0,1,9.91567649838033,9.86747371586655,9.93379394301141,10.1194686795911,10.8755154126655,11.0249728412462,11.2755694827511,11.2891770462834,9.97888202981888,10.1576226587966,12.2548780127762,11.8705210045304
"91","ENSMUSG00000002992","Apoc2",0,0,0,1,0,5.18099601353863,4.63867714944395,5.32729351145767,4.53136882815368,5.17726448371536,4.7381345323749,4.96685665660034,4.26915184342839,4.22770685402454,5.25348061490572,3.43739308235213,3.94404058370847
